HathiTrust ID	Pub Date	Title	Author	Person	Perspectives	Narr Form	Genre	Vol #
nyp.33433074955257	1784	The tutor of truth	"Pratt,"	first	mult	letters	unknown	1 of 2
njp.32101032332254	1810	The history of Sir Charles Grandison	"Richardson, Samuel,"	first	mult	letters	courtship	1 of 7
njp.32101032332940	1810	The history of Sir Charles Grandison	"Richardson, Samuel,"	first	mult	letters	courtship	2 of 7
njp.32101032330431	1810	The history of Sir Charles Grandison	"Richardson, Samuel,"	first	mult	letters	courtship	3 of 7
njp.32101032335505	1810	The history of Sir Charles Grandison	"Richardson, Samuel,"	first	mult	letters	courtship	4 of 7
njp.32101030764698	1810	The history of Sir Charles Grandison	"Richardson, Samuel,"	first	mult	letters	courtship	5 of 7
njp.32101015573023	1810	The history of Sir Charles Grandison	"Richardson, Samuel,"	first	mult	letters	courtship	6 of 7
njp.32101068602265	1810	The history of Sir Charles Grandison	"Richardson, Samuel,"	first	mult	letters	courtship	7 of 7
mdp.39015063546520	1795	Arundel	"Cumberland, Richard,"	first	mult	letters	unknown	1 of 2
mdp.39015063546538	1795	Arundel	"Cumberland, Richard,"	first	mult	letters	unknown	2 of 2
nyp.33433067367627	1811	The history of Clarissa Harlowe	"Richardson, Samuel,"	first	mult	letters	unknown	1 of 8
nyp.33433067367619	1811	The history of Clarissa Harlowe	"Richardson, Samuel,"	first	mult	letters	unknown	2 of 8
nyp.33433067367601	1811	The history of Clarissa Harlowe	"Richardson, Samuel,"	first	mult	letters	unknown	3 of 8
nyp.33433067367593	1811	The history of Clarissa Harlowe	"Richardson, Samuel,"	first	mult	letters	unknown	4 of 8
nyp.33433067367585	1811	The history of Clarissa Harlowe	"Richardson, Samuel,"	first	mult	letters	unknown	5 of 8
nyp.33433067367577	1811	The history of Clarissa Harlowe	"Richardson, Samuel,"	first	mult	letters	unknown	6 of 8
nyp.33433067367569	1811	The history of Clarissa Harlowe	"Richardson, Samuel,"	first	mult	letters	unknown	7 of 8
nyp.33433067367551	1811	The history of Clarissa Harlowe	"Richardson, Samuel,"	first	mult	letters	unknown	8 of 8
uc1.b3575739	1813	"Pamela, or Virtue rewarded;"	"Richardson, Samuel,"	first	mult	letters	courtship	1 of 1
mdp.39015031001335	1711	"The lucubrations of Isaac Bickerstaff, esq;"	<blank>	first	sing	sketch	unknown	1 of 4
mdp.39015031001343	1712	"The lucubrations of Isaac Bickerstaff, esq;"	<blank>	first	sing	sketch	unknown	2 of 4
mdp.39015005765303	1713	"The lucubrations of Isaac Bickerstaff, esq;"	<blank>	first	sing	sketch	unknown	3 of 4
mdp.39015031001350	1714	"The lucubrations of Isaac Bickerstaff, esq;"	<blank>	first	sing	sketch	unknown	4 of 4
mdp.39015063980125	1789	The young widow;	"Hayley, William,"	first	mult	letters	unknown	2 of 4
mdp.39015063980117	1789	The young widow;	"Hayley, William,"	first	mult	letters	unknown	3 of 4
mdp.39015063912136	1789	The young widow;	"Hayley, William,"	first	mult	letters	unknown	4 of 4
nyp.33433074916390	1792	"Athenian letters, or, The epistolary correspondence of an agent of the King of Persia, residing at Athens during the Peloponnesian War"	<blank>	first	mult	letters	unknown	1 of 2
nyp.33433074916408	1792	"Athenian letters, or, The epistolary correspondence of an agent of the King of Persia, residing at Athens during the Peloponnesian War"	<blank>	first	mult	letters	unknown	2 of 2
nyp.33433075729792	1806	Leonora	"Edgeworth, Maria,"	first	mult	letters	unknown	1 of 2
nyp.33433075729800	1806	Leonora	"Edgeworth, Maria,"	first	mult	letters	unknown	2 of 2
nyp.33433045280553	1888	Memoirs of Fanny Hill	"Cleland, John,"	first	sing	letters	unknown	1 of 1
uc2.ark:/13960/t4zg6hh32	1756	Letters on the English nation	"Shabbeare, John,"	mix	sing	letters	unknown	2 of 2
uva.x000534718	1761	"Eloisa: or, A series of original letters collected and published by J.J. Rousseau"	"Rousseau, Jean-Jacques,"	first	mult	letters	unknown	1 of 4
uva.x000534713	1761	"Eloisa: or, A series of original letters collected and published by J.J. Rousseau"	"Rousseau, Jean-Jacques,"	first	mult	letters	unknown	2 of 4
uva.x000534719	1761	"Eloisa: or, A series of original letters collected and published by J.J. Rousseau"	"Rousseau, Jean-Jacques,"	first	mult	letters	unknown	3 of 4
uva.x000534712	1761	"Eloisa: or, A series of original letters collected and published by J.J. Rousseau"	"Rousseau, Jean-Jacques,"	first	mult	letters	unknown	4 of 4
