HathiTrust ID	Pub Date	Title	Author	Person	Perspectives	Narr Form	Genre	Vol #	FLAG
uc1.31822038199097	1703	"The second part of the mouse grown a rat, or, The story of the city and country mouse"	"Tutchin, John,"	first	mult	dialogue	unknown	1 of 1	
mdp.39015031385944	1774	The spiritual Quixote	"Graves, Richard,"	third	sing	unspec	unknown	1 of 3	
mdp.39015031385936	1774	The spiritual Quixote	"Graves, Richard,"	third	sing	unspec	unknown	2 of 3	
mdp.39015031385928	1774	The spiritual Quixote	"Graves, Richard,"	third	sing	unspec	unknown	3 of 3	
nyp.33433074955463	1752	Young Scarron	"Mozeen, Thomas,"	first	sing	unspec	unknown	1 of 1	
uc2.ark:/13960/t84j0ch7d	1765	The council in the moon	<blank>	first	sing	unspec	unknown	1 of 1	
nnc1.0035537477	1752	"A genuine account of the life and transactions of Howell ap David Price, gentleman of Wales"	<blank>	first	sing	unspec	unknown	1 of 1	
mdp.39015063891314	1762	"Longsword, Earl of Salisbury"	"Leland, Thomas,"	third	sing	unspec	unknown	1 of 2	
mdp.39015063891306	1762	"Longsword, Earl of Salisbury"	"Leland, Thomas,"	third	sing	unspec	unknown	2 of 2	
mdp.39015078562108	1751	"The life and adventures of Peter Wilkins, a Cornish man"	"Paltock, Robert,"	first	sing	unspec	unknown	1 of 2	
mdp.39015078562298	1751	"The life and adventures of Peter Wilkins, a Cornish man"	"Paltock, Robert,"	first	sing	unspec	unknown	2 of 2	
mdp.39015078548669	1756	The life and surprizing adventures of Crusoe Richard Davis	"Bannac, Adolphus."	first	sing	unspec	unknown	1 of 1	
nyp.33433074911730	1758	"The South sea fortune; or, The chaplain advanced to the saddle"	"Richwould,"	first	sing	unspec	unknown	1 of 1	
njp.32101077780516	1768	Tales	"ʻInāyat Allāh,"	third	mult	unspec	unknown	1 of 1	
njp.32101077780524	1768	Tales	"ʻInāyat Allāh,"	third	mult	unspec	unknown	1 of 2	
mdp.39015078562140	1770	"The life and astonishing adventures of John Daniel, a smith at Royston in Hertfordshire, for a course of seventy years"	"Morris, Ralph."	first	sing	unspec	unknown	1 of 1	
nyp.33433074913645	1751	The history of Miss Betsy Thoughtless	"Haywood, Eliza Fowler,"	mix	sing	unspec	unknown	1 of 4	
nyp.33433074913637	1751	The history of Miss Betsy Thoughtless	"Haywood, Eliza Fowler,"	mix	sing	unspec	unknown	2 of 4	
nyp.33433074913629	1751	The history of Miss Betsy Thoughtless	"Haywood, Eliza Fowler,"	mix	sing	unspec	unknown	3 of 4	
uiuo.ark:/13960/t17m0vk3v	1769	The Hermit	<blank>	mix	mult	unspec	unknown	1 of 2	
uiuo.ark:/13960/t4dn4qn2v	1769	The Hermit	<blank>	mix	mult	unspec	unknown	2 of 2	
nyp.33433074913330	1758	The lives of Cleopatra and Octavia	"Fielding, Sarah,"	first	mult	unspec	unknown	1 of 1	
nyp.33433074948542	1752	"The female Quixote; or, The adventures of Arabella"	"Lennox, Charlotte,"	third	mult	unspec	courtship	1 of 2	
nyp.33433074948559	1752	"The female Quixote; or, The adventures of Arabella"	"Lennox, Charlotte,"	third	mult	unspec	courtship	2 of 2	
mdp.39015065443171	1754	Dialogues of the dead;	"Fénelon, François de Salignac de La Mothe-,"	first	mult	dialogue	unknown	1 of 2	
mdp.39015065443189	1754	Dialogues of the dead;	"Fénelon, François de Salignac de La Mothe-,"	first	mult	dialogue	unknown	2 of 2	
nyp.33433074911623	1798	The young philosopher	"Smith, Charlotte,"	third	mult	unspec	unknown	1 of 4	
nyp.33433074911631	1798	The young philosopher	"Smith, Charlotte,"	third	mult	unspec	unknown	2 of 4	
nyp.33433074911649	1798	The young philosopher	"Smith, Charlotte,"	third	mult	unspec	unknown	3 of 4	
nyp.33433074911656	1798	The young philosopher	"Smith, Charlotte,"	third	mult	unspec	unknown	4 of 4	
mdp.39015013469849	1798	The works of don Francisco de Quevedo	"Quevedo, Francisco de,"	first	mult	shorts	unknown	1 of 3	
mdp.39015013469856	1798	The works of don Francisco de Quevedo	"Quevedo, Francisco de,"	first	mult	shorts	unknown	2 of 3	
mdp.39015065718523	1798	The works of don Francisco de Quevedo	"Quevedo, Francisco de,"	first	mult	shorts	unknown	3 of 3	
