1785	mdp.39015063918562	e	pounds	0	nonmonetary	"flep and fetch me; it is but a little way, "" said 1$ showing him the house; "" yoxi know my friend we can both"
1838	hvd.hn5cy3	u	pounds	0.004	gift	proceeded with new powers to bleat forth: — Then some gave a penny, and some gave a pound, For this yeoman was loved by the
1799	uc2.ark:/13960/t1ng4kw2z	e	pounds	0	nonmonetary	ic next among the Iroquois in Nortr'. Aracrica. Let us change llic {cent then, oad p]oce our travellers, now sworn ^'ud hoibm friends three whole
1851	uc2.ark:/13960/t8hd82f9t	q	pounds	1.1	price	with the soft spoken man who, at the ruinous price of one guinea one shilling, had purchased a pony of incomi (arable Arab blood. St.
1895	uc1.b3327599	q	pounds	1200	capital	in a happier land than this. See, pretty; I have twelve hundred pounds, which would be a fortune to him, and which I will freely
1790	nyp.33433074918800	e	pounds	0	nonmonetary	company of other youthful knights, (but of ample inheritances) John of gaunt. 4$ tances) who affected to be fine hearted people, and to be poUessed
1852	uiuo.ark:/13960/t3tt5bm1x	q	pounds	0.274	wages	"said Charley, opening her eyes, and smiling, ""because of earning sixpences and shillings!"" ""And do you always lock the babies up when you go out?"""
1771	nyp.33433074930284	u	pounds	1.05	pocket	"^ i *' s anx; ous about, that I errtplo/ "" every guinea I hive in the world, "" and walk the town round many"
1936	10483	u	pounds	0.008	pocket	doesn’t happen to have enough pocket money to get to Singapore. For tuppence, an Upright is all anyone can expect. They used to walk along
1875	uc2.ark:/13960/t3708422b	q	pounds	0.05	fine	his master, totally failed, and, at last, the heavy fine of one shilling was imposed upon Harold — as near an equivalent as possible to
1850	mdp.39015065658273	q	pounds	20	wages	"do a better thing."" "" Hem !"" said the other. "" Twenty pounds per annewnm, 1 believe, Mr. Squeers ?"" ""Gnineas, "" rejoined the schoolmaster,"
1824	hvd.hwjryf	u	pounds	0.024	gift	who had so far conquered avarice, as to give away many a sixpence, that comforted himself, at last, on his deathbed, by making a crafty
1875	mdp.39015027616468	e	pounds	0	nonmonetary	witnesses was adopted towards Bowjee. He was taken into custody on the 22nd, and the same evening he confessed he had administered poison to Colonel
1896	mdp.39015066274179	q	pounds	140	bribe	"could betray Cerizet, he capitulated, asking, however, for three thousand five hundred francs. That demand having been granted he remarked: — ""It is none too"
1843	wu.89100339167	q	pounds	200	pocket	"me have two hundred pounds — burn that cursed indenture"" ""Two hundred pounds! Do you fancy then that you are in the possession of this"
1909	mdp.39015069932344	q	pounds	1000	debt	of considerable property ; at this time, however, he wanted a thousand pounds, as gentlemen of considerable property every now and then do. I had
1825	uiuo.ark:/13960/t2b85jm94	q	pounds	400	bank	he then sealed up the bag in which was the ten thousand francs, and placing it in security, vowed he would never touch it, until
1937	10521	q	pounds	200	bet	work and the weather watching them throw. It was art. A thousand dollars a throw in Madison Square Garden wouldn’t have gotten any more breathless
1859	njp.32101067634186	q	pounds	2000	price	"wife. ""I shouldn't wonder, "" said Goose; ""for its worth two thousand pounds, and more money, on account of the seaweed. I have always set"
1793	nyp.33433074911797	q	pounds	3000	bribe	you get by it? (returned his nephew.) If I give three thousand pounds for a borough, or that it costs me as much to buy
1918	uc2.ark:/13960/t08w3901k	q	dollars	0.03	price	painted beauti full gold horses on the programmes, which sold for three cents more. For days it had been preparing, and nobody had the remotest
1920	nyp.33433082365895	q	dollars	0.01	price	bravely bordered by shops where they sold gingerbread, sticks of barley sugar, penny whistles, paper kites, the champs filysees, to wit, where there were goat
1758	mdp.39015065793088	e	none	0.0	nonmonetary	no other Nourishment at Night than a Cake made with Half a Pound of Flour without any Salt, and instead of Butter, worked up with
1881	uc2.ark:/13960/t0ks6px52	q	pounds	5.0	expenses	Madeleine would leave it alone. But she gets hold of the five francs a week I give to her mother, and spends them, I suspect,
1937	00010517	q	dollars	0.1	price	in Heckel’s Stationery Store—this long time back—he bought a ring for ten cents. He asked her to walk, and they walked all the way to
1917	nyp.33433074927017	q	pounds	6.0	price	morsel of rouge and a dip of hair dye, and spent six pounds of her own money on a tailor made dress, it was her
1799	hvd.hn2hdx	e	none	0.0	nonmonetary	of the beggar, and refusals by Mr. Dargold, the latter K. threat 9s threatened to force him away, upon which the black, whilst tears started
1796	mdp.39015010794413	q	pounds	20000.0	debt	in short, debts have come out to the amount of twenty thousand pounds, contracted in four or five years. M. de Valcy is sent to
1760	uiuo.ark:/13960/t88g98j1p	q	pounds	50.0	interest	my Connexion with her Spouse, I should have an Annuity of fifty Pounds a Year fettled upon me, and a hundred Guineas down. The Situation
1765	nnc1.0315301320	q	pounds	52.5	pocket	sum of money, about fifty pounds, I had by me, and fifty guineas more, which our friend would insist upon our accepting, with my dear
1921	uc1.$b452355	q	pounds	50.0	bribe	told them so, but they wanted money. They asked me for fifty pounds. My mother was there. She was very angry, and let them have
1787	nyp.33433074907571	q	pounds	500.0	other	my letter: " I know not what you mean by five hundred pounds sent by my lawyer to your mother. I never heard of your
1860	nyp.33433074945548	q	pounds	0.45	wages	is paid for (out of aarvest time) at the rate of nine shillings a week. But this JB a resource of which they are rarely
1835	hvd.hn24wq	q	pounds	200000.0	capital	"Happen what will, " continued French Clay, "I have two hundred thousand pounds, well counted — as to the rest, it is quite indifferent to
1788	nyp.33433074911516	q	pounds	6000.0	rent	the property of her eldest daughter. This was upwards of six thousand pounds a year; and whether this ever happened or not, Crofts knew that
1755	nyp.33433074913595	e	none	0.0	nonmonetary	' and looked as if me was just out of bed.' Adarlo* 20$' The InwJ&le Spy. Mario. ' And can you know the ' house
1758	mdp.39015065793286	q	pounds	250.0	wages	the Brutality if you ' please) I will give you a thousand Crowns a • Month; by Way of Preliminary I here send you '
1752	nyp.33433074948559	e	none	0.0	nonmonetary	yet my Birth is illustrious enough: My Ancestors having formerly worn a Crown ; which, as they won by their Valour, so they lost by
1891	uc2.ark:/13960/t6057dn7p	e	none	0.0	nonmonetary	commenced with the storming of the Council Hall in Prague on the 23d of May, 1618. History denominates it " The Thirty Years' War." It
1849	uiuo.ark:/13960/t9474qk0r	e	none	0.0	nonmonetary	! What difference could that last fact make in my becoming Mrs. Penny thorn ? Why, I have had affairs of this sort, off and
1907	pst.000006715885	q	pounds	12000.0	capital	fortune was presently at the head of between eleven and twelve thousand pounds, or, as he reckoned it, of upward of sixty thousand dollars. How
1756	nyp.33433075865596	q	pounds	7500.0	capital	of his Funeral, * amounted to no more than thirty thousand' ' Crowns, nothing near half the Sum hv '; his Banker's Hands. . '
1834	njp.32101068972759	q	pounds	0.001	other	Few words drive a bargain with Peter Eskett. I never abate one farthing of my price; but then that price never asks more than a
1917	uc2.ark:/13960/fk1td9n70k	q	dollars	0.25	price	eager women driven by want sold their bodies to passersby for twenty-five cents. An advertisement in the newspapers of one unfilled job brought a thousand
1872	uc2.ark:/13960/t5fb50m13	q	pounds	2.024	capital	you that?" said Peter, sternly. "Is it nothing to pay two and sixpence in the pound if you were bankrupt tomorrow ? it show an
1940	00010622	q	dollars	100000.0	capital	with good luck with money. His good luck is worth a hundred-thousand dollars, in fact, which a stranger has deposited into his bank account. Lady
1822	mdp.39015063512563	e	none	0.0	nonmonetary	entangled net, ' 'Cause they good counsel lightly did forget : ' 11s true, they rescued were, but yet, you see, ' They'Re scourged to
1759	mdp.39015009239859	e	none	0.0	nonmonetary	in most solemn Vows, that if ever Fortune favoured him with a Crown, he would fix it on her Head, and makeherinfpiteof all ibrmerTiesandObligsuions, K
