idcode,date,wordcount,author,title
00010209,1923,27062,"Bacheller, Irving",The prodigal village
00010210,1923,51391,"Bailey, Temple",Judy
00010211,1923,69514,"Brand, Max",Alcatraz
00010212,1923,76431,"Curwood, James Oliver",The flaming forest
00010213,1923,60030,"Marquis, Don",The cruise of the Jasper B.
00010214,1923,64452,"Stringer, Arthur",Phantom wires
00010215,1924,62646,"Abbott, Jane",Laughing last
00010216,1924,109831,"Bromfield, Louis",The green bay tree
00010217,1924,78434,"Burroughs, Edgar Rice",Tarzan and the ant men
00010218,1924,43054,"D'Angelo, Pascal",Son of Italy
00010219,1924,51613,"Dobie, J. Frank",Legends of Texas
00010220,1924,64851,"Drago, Harry Sinclair",Following the grass
00010221,1924,92763,"Ferber, Edna",So big
00010222,1924,54306,"Garrett, Garet",Satan's bushel
00010223,1924,31440,"Hecht, Ben",The kingdom of evil
00010224,1924,100719,"Hill, Grace Livingston",Re-creations
00010225,1924,33805,"Hill, Grace Livingston",The story of a whim
00010226,1924,96525,"Paterson, Isabel",The singing season
00010227,1924,22713,"Rosenbach, A. S. W.",The unpublishable memoirs
00010228,1924,50726,"Stringer, Arthur",Never-fail Blake
00010229,1924,66966,"Terhune, Albert Payson",Treve
00010230,1924,78939,"Wharton, Edith",Old New York
00010231,1924,29500,"Wharton, Edith",The old maid
00010232,1925,618691,"Anderson, Sherwood",Dark laughter
00010233,1925,75625,"Burroughs, Edgar Rice",The bandit of Hell's Bend
00010234,1925,69718,"Burroughs, Edgar Rice",The cave girl
00010235,1925,45799,"Burroughs, Edgar Rice",The moon men
00010236,1925,67982,"Cather, Willa",The professor's house
00010237,1925,57804,"Cline, Leonard",God head
00010238,1925,127721,"Dos Passos, John",Manhattan transfer
00010239,1925,360926,"Dreiser, Theodore",An American tragedy
00010240,1925,307224,"Dreiser, Theodore",The Genius
00010241,1925,49144,"Fitzgerald, F. Scott",The great Gatsby
00010242,1925,34145,"Heyward, DuBose",Porgy
00010243,1925,68024,"Hill, Grace Livingston",Ariel Custer
00010244,1925,96274,"Hill, Grace Livingston",Not under the law
00010245,1925,93591,"Rinehart, Mary Roberts",The red lamp
00010246,1925,86966,"Scarborough, Dorothy",The wind
00010247,1925,54854,"Van Vechten, Carl",Firecrackers
00010248,1925,81806,"Yezierska, Anzia",Bread givers
00010249,1925,105891,"Young, Gordon",Seibert of the island
00010250,1926,22676,"Biggers, Earl Derr",Fifty candles
00010251,1926,81668,"Biggers, Earl Derr",The Chinese parrot
00010252,1926,73090,"Brand, Max",The white wolf
00010253,1926,99186,"Bromfield, Louis",Early autumn
00010254,1926,84968,"Cather, Willa",My Antonia
00010255,1926,28201,"Cather, Willa",My mortal enemy
00010256,1926,92035,"Faulkner, William",Soldiers' pay
00010257,1926,106284,"Ferber, Edna",Show boat
00010258,1926,111151,"Hemingway, Ernest",The sun also rises
00010259,1926,95846,"Hill, Grace Livingston",Coming through the rye
00010260,1926,43925,"North, Grace May",Nan of the Gypsies
00010261,1926,59163,"Rinehart, Mary Roberts",Nomad's land
00010262,1926,59341,"Rinehart, Mary Roberts",Tish plays the game
00010263,1926,121598,"Roberts, Elizabeth Madox",The time of man
00010264,1926,40756,"Tully, Jim",Jarnegan
00010265,1926,83016,"Van Dine, S. S",The Benson murder case
00010266,1927,282858,"Burroughs, Edgar Rice",The war chief
00010267,1927,76245,"Cather, Willa",Death comes for the archbishop
00010268,1927,103608,"Faulkner, William",Mosquitoes
00010269,1927,8270,"Glaspell, Susan",A jury of her peers
00010270,1927,110130,"Hill, Grace Livingston",Job's niece
00010271,1927,90518,"Hill, Grace Livingston",The white flower
00010272,1927,96717,"Keeler, Harry Stephen",Find the clock
00010273,1927,154909,"Lewis, Sinclair",Elmer Gantry
