1750	neg	to' the the new partners of the crown, who had the less of their Alei,

1751	neg	the Woods, with, it may be, forty Pound weight each on their Backs; and mounting

1752	neg	about to find the Person without a Crown, whom as soon as heseiz'd he devoured

1753	neg	race; Her necklace, strung with pearls; her crown, that glows |number| Inftarr'd.with gems and gold

1754	neg	as they promoted the interest of their sovereign lady Pleasure. My own prudential policy from

1755	neg	great riches, arid even ilkc^ded to she crown of Algiers, to which place I accompanied

1756	neg	her, replied, it was even to the crown of her head, and her fingers ends.

1758	neg	him, and use her utmost Endeavours to crown him with Peace and Empire. Strange Infatuation!

1759	neg	Purpose made the following Speech. " Our Sovereign Lord has been now dead upwards of

1760	neg	to Town, they put up at the Crown, one of um pretends to keep his

1761	neg	people happy. Ten thousand cares attend a crown •, but the indifference I have for

1762	neg	as a humble lover, but an imperious sovereign matter. Yet, awed by her dignity and

1763	neg	of the throne, vere alienated from their sovereign, by a partiality equally injudicious and disgraceful;

1764	neg	Thou wilt have soldiers who love their sovereign ; they choosing to slay with thee,

1765	neg	and Stellas green iilk apron, and the pound of tea i pray send ync word

1766	neg	Her income equals that of some independent sovereigns, and she lives with most princely magnificence.

1767	neg	the cheaper and easier acquisition of the crown, to which Edward at that time pretended.

1768	neg	these in circumference, on the coast of Guinea, and there only; bftt for a length

1769	pos	who was not within, dropped my half crown with his porter, drove to the coffeehouse

1770	neg	endures on her account; how stn may crown my susferings with glory; my care with

1771	neg	be contented • the loss of a crown ; with what astonishment " ought we

1772	neg	it is in you only that my sovereign will think himself honoured or neglected." Thus

1773	neg	which |number| believe might weigh near a pound In the other chest, which I guessed

1774	neg	deserves; let the ' honour of our sovereign be longer trifled * with in this

1775	pos	I'D lay sive pound to * a crown, is no more a maid than my

1776	neg	the throne to the degrees, with the crown in her hand, holding it up to

1777	neg	I thought bound to the coast of Guinea for negroes. Upon which I strove for

1778	neg	the sports and smiles, was about to crown my happiness, we were aftoniftied by a

1779	neg	stood high in the favonr of their sovereign. This ceremony was scarcely at an end,

1780	neg	the northern latitude, upon the coast of Guinea; upon which the captain gave reasons for

1781	neg	days ' notice of his brother and sovereign ' before he saw us inverting his

1782	neg	denoting, that * such as wear that crown ought to be ' secure against all

1783	neg	to offer such an affront to their Sovereign, and give a wound to the political

1784	neg	observers, from the pert templar to the Sovereign himself, who was pleased to bestow encomiums

1785	neg	look upon the desire of my " sovereign. You must know, I have " no

1786	neg	him happy, by the hope, time might crown his wishes with success; they knew her

1787	neg	the world, to llamp with ridicule my Sovereign, my benefactress, would no doubt awaken her

1788	pos	What is that, child? Percival. The new crown piece that you gave me as a

1789	neg	he had flated it himself, That the Crown could have a House of Commons of

1790	neg	no powder in it, but about two pounds of glazed powder in the three flasks,

1791	neg	will accompany me; then, calas! alas! " Quid me exemptajuvatspina*I must conclude upon a separate

1792	neg	legal exercise ot the rights of the crown : and no wonder if, in disputable

1793	neg	'' duke, who is ambitious of the crown; •' she is too proud to bow

1794	neg	honours, and enjoying the confidence of his sovereign, appeared to have attained the zenith of

1795	neg	are under a command, and not for sovereign princes, whose will is a law. He's

1796	neg	of the foul to unite with the sovereign beauty. The season of the year, for

1797	neg	following cataplasm: "Take of carrot juice one pound, of sugar ot lead half an ounce,

1798	neg	for the appointed day which was to crown his felicity, to which this alone was

1799	neg	contend with the brave Fabius for the crown, for he is stronger and more undaunted;

1800	neg	empire, which would prompt the more ambitious sovereigns to annex Arabia to their dominions, it

1801	neg	world, the eldest son " assumed his crown and throne, and wanted to kill "

1802	neg	: but now, when you see the crown, you will remember it — so do

1803	neg	qu'on peut s'écrier avec le poète laJiu; Quid non passif amori. .... irrite les desirs,

1804	neg	leads to glory? « Remember, that the sovereign who is most absolute , is always

1805	neg	his brother Edwin of hi life and crown ; but your Highness, no doubt, has

1806	neg	taken for the southeast " of his crown. Many of the no " stiM opposed

1807	neg	the young king was acknowledged the rightful sovereign of the country, and another regent appointed

1808	neg	from the long walk of cypresses that crown the hill, * and overlook the Vatican

1809	neg	house resembled the reign of some pacific sovereigns. It was the pleasantest to live in,

1810	neg	esteem, and enrich the poets, and even crown them with the leaves of that tree,

1811	neg	intelligence, had |number| already written to his sovereign, requesting permission to indulge his sanguinary disposition

1812	pos	given her, and which once contained thirty guineas., but was now reduced to much less

1813	neg	ambition, to propitiate the smiles of his sovereign, or to court the favour of a

1814	neg	It was observed at levee, that the Sovereign looked coldly upon the minister , —

1815	neg	for marrying a widow, who is under crown custody, is to be equal to that

1816	pos	My master sends you this" putting a guinea into his hand " retire, and thank

1817	neg	to weigh anchor for the coast of Guinea ; and rising in consequence as he

1818	pos	' If I were master of a crown, ' I said, ' I would gladly

1819	neg	the ruins of the tower, which still crown the beetling cliff and behold the war

1820	neg	having occupied an abandoned district, imitate the sovereigns of the globe, and tax the tra

1821	neg	grandfather, tributes due to a merit so sovereign, and not presents. As to her diversions,

1822	neg	wench — We should then learn furens quid fcemina !" He would then pause, and

1823	neg	before he was allowed to receive the crown, that he would preserve it. Yet, for

1824	neg	brought forwards the power of his own sovereign, his greatness and preponderance over all the

1825	neg	fourteen hundred and thirty-four, he abdicated his crown, and retired to the Priory of Ripaille,

1826	neg	non doctrinam eo vertendam ut opens congerantur. Quid attinet dicere de vita illa privata et

1827	neg	which was just by, and filling the crown of my straw hat with water, was

1828	neg	subjects, as well as those of other sovereigns. Get you gone from my presence, as

1829	neg	to be perpetuated, and who is to crown all thy wishes, by adding to thy

1830	neg	governed in the name of the new sovereign, the Arch duke Albert and his wife

1831	neg	heroines of history. Philip was now the sovereign of Burgundy, Flanders, Artois, and several minor

1832	neg	sleeves, led about a ram with a crown on his head. As it is, I

1833	neg	he was requested. When he saw the crown and anchor, and his Majesty's cypher on

1834	neg	cents per pound; coffee, |number| cenls per pound; sugar less; pepper, |number| cents; chicory, |number|

1835	neg	Mansfeldt. Anne of Saxony, wife of a sovereign duke, daughter of an electoral prince, and

1836	neg	' and transmitted to his sons the sovereign power, which he had usurped thirty years

1837	pos	roll of banknotes and a purse of sovereigns, "or rather let me deposit it with

1838	neg	brow, to give place to the mural crown." " Never — unless where generous and

1839	neg	entered the ports and rivers of the Guinea coast, collecting information which was ultimately used

1840	neg	swallow his grog, And have a good quid to stick into his cheek. When our

1841	neg	that so long as he wore the crown you should never wed the lady, if

1842	neg	union of Frankfurt ; and as every sovereign is growing less as his next neighbour

1843	neg	his life. The trial of an anointed sovereign for treason by his subjects was a

1844	neg	are backward in speaking, we lose the crown." "I confess, " said Mr. Scott, with

1845	neg	woman of our race on whom the crown hath descended. It becomes me, therefore, to

1846	neg	country, — regent, m. the reigning prince, sovereign, te g i e t U n

1847	neg	; but winning the consent of our Sovereign Lady Victoria to sport the jewel, the

1848	neg	would not bend. It announced to the sovereign that those were his last hours in

1849	neg	dear mother — if it were the pound of flesh, I would pay him —

1850	neg	some exploit which might set •The civic crown was the foundation of many pri Here.

1851	neg	as he went, "A murderer! — to crown the host of misfortunes — a murderer!

1852	pos	heard of such a creature. The eighty guinea advertisement horse, with the plated harness, in

1853	pos	project would enable him to place thirty pounds at his uncles disposal, leaving him just

1854	neg	the above causes, on behali of the Crown. In May |number| an order was made

