s/w_ratio,snippets,words,volid,date,author,title
0.004497342479443965,693,154091,uc2.ark:/13960/t91837f63,1846,"Ollendorff, Heinrich Gottfried,","Ollendorff's new method of learning to read, write, and speak the German language;"
0.0037439161362785474,310,82801,mdp.39015022440815,1847,"Green, J. H.",Gambling unmasked!
0.0034759036489824457,2426,697948,njp.32101074884758,1849,<blank>,Sidney's Emigrant's journal
0.0030184431995497916,236,78186,nyp.33433082533906,1820,"Edgeworth, Maria,","The parent's assistant; or, Stories for children"
0.002925255618131117,107,36578,uc1.b4104560,1847,"Arthur, T. S.","The lady at home; or, Leaves from the everyday book of an American woman"
0.0028712565606668723,186,64780,wu.89094687290,1835,"Whitehead, Charles,","Lives and exploits of English highwaymen, pirates and robbers"
0.0028365136668385767,99,34902,uc2.ark:/13960/t39z90r9p,1847,"Arthur, T. S.","Making haste to be rich; or, The temptation and fall"
0.0028169014084507044,5,1775,njp.32101073360305,1820,<blank>,"Perfidy detected! or, The children in the wood restored"
0.0027938389776978765,115,41162,njp.32101078161161,1841,<blank>,"[Confessions of Madison, Warrick, Seward and Brown]"
0.002782248792825937,121,43490,uc1.b249647,1834,"Greene, Asa,",The perils of Pearl street
0.002652698028944629,79,29781,nyp.33433082548995,1819,"Baker, James,","The life of Sir thomas Bernard, baronet"
0.0024648287892002577,65,26371,njp.32101067628865,1817,"Barrett, Eaton Stannard,",Six weeks at Long's
0.002416725461573046,4268,1766026,hvd.32044103136677,1834,<blank>,The Congressional globe
0.002362470469119136,28,11852,njp.32101064071184,1837,<blank>,Living on other people's means;
0.0023551577955723034,45,19107,hvd.32044100178110,1844,<blank>,"Life in town, or, The Boston spy"
0.002292955196862272,76,33145,uiuo.ark:/13960/t11n8ns61,1815,<blank>,The Observant pedestrian mounted; or A donkey tour to Brighton
0.0022713506965475467,60,26416,dul1.ark:/13960/t8hd8qk80,1817,"Barrett, Eaton Stannard,",Six weeks at Long's
0.0022482583913869536,71,31580,njp.32101074942440,1845,"Arthur, T. S.",The wife
0.0022070458898975596,53,24014,nyp.33433006523900,1842,"Gale, James.","A long voyage in a leaky ship: or, A forty years' cruise on the sea of intemperance"
0.0021607503264869997,91,42115,hvd.hn5bvf,1826,<blank>,The Cottage fire-side
0.0021110335552188496,124,58739,njp.32101068171022,1842,"Howitt, Mary Botham,","Little coin, much care, or, How poor men live"
0.0020997883945140993,2969,1413952,hvd.32044103136636,1834,<blank>,The Congressional globe
0.0020229007633587788,53,26200,nyp.33433075760045,1838,<blank>,The victims of gaming;
0.001931044168246612,110,56964,uc2.ark:/13960/t9571c728,1816,"Ryley, S. W.",The itinerant;
0.001875689591761677,51,27190,nyp.33433076089980,1833,"[Greene, Asa]",A Yankee among the nullifiers
0.0018708885714860488,93,49709,uiuo.ark:/13960/t46q29m0j,1834,"Dalton, James,",The maiden's talisman
0.001859692993055045,177,95177,uc1.32106005726408,1832,"Edgeworth, Maria,",Tales and novels
0.0018546228582267277,176,94898,uc2.ark:/13960/t9571bq62,1832,"Edgeworth, Maria,",Tales and novels
0.001846494737489998,30,16247,mdp.39015068100752,1808,"Sedley, Charles,",Asmodeus;
0.0018349918836897453,26,14169,uiuo.ark:/13960/t0ns1cv4p,1807,"Sedley, Charles,",The barouche driver and his wife
0.0018257629962251116,74,40531,nnc1.50207065,1836,"Oliver, Nathan.","A few remarkable events in the life of Rev. Josiah Thompson, a Secession minister"
0.0018017725546213032,111,61606,uc1.b2991191,1805,"Edgeworth, Maria,",Popular tales
0.0017704812489940447,11,6213,uc1.b3553822,1803,"Corry, John,",The history of Henry Thomson
0.0017558528428093646,63,35880,uiuo.ark:/13960/t4wh34q48,1815,<blank>,The Observant pedestrian mounted; or A donkey tour to Brighton
0.0016604912858515163,121,72870,nnc1.0022839976,1801,"More, Hannah,",The works of Hannah More
0.0016591146741024747,119,71725,njp.32101013403959,1818,"More, Hannah,",Works
0.0016406616219112034,98,59732,uc1.b254258,1815,"Mathers, John,","The history of Mr. John Decastro and his brother Bat, commonly called Old Crab"
0.0016368672878368168,26,15884,mdp.39015067084635,1808,"Sedley, Charles,",Asmodeus;
0.0016330542871638761,103,63072,uiuo.ark:/13960/t5m90x77j,1804,"Edgeworth, Maria,",Popular tales
0.0015560165975103733,75,48200,nyp.33433075771448,1836,"Poole, John,",Paul Pry's journal of a residence at Little Pedlington
0.001555678733123212,2307,1482954,hvd.32044106526189,1834,<blank>,The Congressional globe
0.0015552855407047388,32,20575,nyp.33433081599056,1834,"Knight, Thomas.",The British Battalion at Oporto;
0.0015473232437316468,137,88540,nyp.33433067303846,1815,"Mathers, John.","The history of Mr. John Decastro and his brother Bat, commonly called Old Crab"
0.0015445719329214476,63,40788,nyp.33433081936753,1847,"Burdett, Charles,",Arthur Martin
0.001535101943741757,71,46251,nyp.33433076023476,1846,"Hooper, Johnson Jones,",Adventures of Captain Simon Suggs
0.001522093655354508,98,64385,nnc1.0315301125,1809,"Defoe, Daniel,",The novels of Daniel De Foe
0.0015190972222222222,7,4608,uc2.ark:/13960/t5n874m25,1810,<blank>,The History of little King Pippin
0.0015020338522702312,1648,1097179,hvd.32044019326420,1834,<blank>,The Congressional globe
0.001483740114071029,218,146926,uc1.b3325605,1836,"Marryat, Frederick,","Japhet, in search of a father"
0.0014763260571549089,56,37932,uiuo.ark:/13960/t1pg2683c,1803,"Lyttleton, M.","Peregrine, or, The fool of fortune"
0.0014598993601292166,94,64388,uiuo.ark:/13960/t0pr84q15,1810,"Defoe, Daniel,",Life of Colonel Jack
0.0014590121287205264,1604,1099374,hvd.32044106523509,1834,<blank>,The Congressional globe
0.0014567686006662925,122,83747,mdp.39015009162184,1818,"More, Hannah,",Stories for the middle ranks of society and tales for the common people
0.0014440151426452796,37,25623,uiuo.ark:/13960/t3hx1zv0r,1817,"St. George, Catherine.","Maria, a domestic tale"
0.0014440081773047344,89,61634,uc1.b2980096,1805,"Edgeworth, Maria,",Popular tales
0.0014250292130988686,50,35087,hvd.32044010036523,1832,"Martineau, Harriet,",Illustrations of political economy
0.0014179927524814874,9,6347,uc2.ark:/13960/t9571j946,1803,"Corry, John,",The history of Henry Thomson
0.0013589594253543,105,77265,inu.32000006187563,1832,"Edgeworth, Maria,",Tales and novels
0.0013542391412384456,109,80488,uiuo.ark:/13960/t96694135,1840,"Warren, Samuel,",Ten thousand a-year
0.001345359457308523,71,52774,nyp.33433075729826,1818,"Edgeworth, Maria,",Moral tales for young people
0.001343054489639294,49,36484,uiuo.ark:/13960/t7rn3p17b,1811,"Leadbeater, Mary,",Cottage dialogues among the Irish peasantry
0.0013328753005839918,97,72775,nyp.33433074931563,1837,"Haliburton, Thomas Chandler,",The clockmaker;
0.0013318307550455896,52,39044,hvd.32044011468634,1832,"Martineau, Harriet,",Illustrations of political economy
0.001329761606506196,69,51889,mdp.39015078575589,1849,<blank>,Robinson Crusoe's farmyard
0.0013216705916278175,55,41614,nyp.33433076069578,1844,"Lee, Hannah Farnham Sawyer,",The log cabin;
0.001317666730278164,145,110043,hvd.hxcsht,1826,"Colman, George,",The circle of anecdote and wit
0.0013141755738566672,30,22828,njp.32101068141207,1837,"Lee, Hannah Farnham Sawyer,",The Harcourts;
0.0013055906767082623,95,72764,njp.32101066122357,1843,"Haliburton, Thomas Chandler,","The clockmaker, or, The sayings and doings of Samuel Slick of Slickville"
0.0012886865789528382,62,48111,mdp.39015016777693,1836,"Sedgwick, Catharine Maria,","The poor rich man, and the rich poor man"
0.0012741144904291517,85,66713,wu.89004684510,1845,"Thackeray, William Makepeace,",The Irish sketch-book
0.0012739323892694274,69,54163,dul1.ark:/13960/t46q2t31h,1815,"Andrews, Charles.",The prisoners' memoirs
0.0012584420487436554,30,23839,nyp.33433075753164,1848,<blank>,Stories from real life;
0.0012364206095270456,131,105951,nnc1.cu60739126,1843,"Seaward, Edward,",Narrative of his shipwreck & discovery of islands in the Caribbean sea ... ;
0.0012230375806092952,22,17988,njp.32101063693707,1849,"O'Keefe, Thomas.",The battle of London life
0.0012125621438098702,50,41235,uiuo.ark:/13960/t3902rd14,1839,"Robertson, J. P.",Solomon Seesaw
0.001201639159057997,117,97367,njp.32101067640910,1814,<blank>,Things by their right names;
0.0011961211499850485,28,23409,pst.000019174426,1805,"Lewes, Charles Lee,",Memoirs
0.0011928860613071139,33,27664,njp.32101072858127,1844,<blank>,A Collection of love stories
0.001192269076305221,76,63744,uiuo.ark:/13960/t1pg2cj2j,1804,"Edgeworth, Maria,",Popular tales
0.0011699890406089866,79,67522,nnc1.1002326353,1841,"Marryat, Frederick,",Joseph Rushbrook
0.001169077889814409,24,20529,hvd.hwkd7f,1826,"Hofland,",William and his uncle Ben;
0.0011680618516561449,42,35957,nyp.33433082547377,1847,"Howitt, Mary Botham,",Tales in prose: for the young
0.0011641751554438418,44,37795,uiuo.ark:/13960/t9d516b21,1811,"Moriarty, Henrietta Maria.",Brighton in an uproar;
0.0011630160883892228,42,36113,njp.32101063881088,1843,"Nichols, Thomas Low,","Ellen Ramsay; or, The adventures of a greenhorn, in town and country"
0.0011573488489754616,183,158120,mdp.39015006945045,1832,"Martineau, Harriet,",Illustrations of political economy
0.0011564190150868204,65,56208,mdp.39015056759460,1841,"Hewlett, J.",The parish clerk
0.0011509135376204863,16,13902,uiuo.ark:/13960/t98634x54,1807,"Sedley, Charles,",The barouche driver and his wife
0.0011502597512798997,122,106063,loc.ark:/13960/t2r50j74k,1815,<blank>,The Cabinet
0.0011342416488000554,82,72295,uc1.b254261,1815,"Mathers, John,","The history of Mr. John Decastro and his brother Bat, commonly called Old Crab"
0.0011274697608231624,103,91355,uiuo.ark:/13960/t4nk3rn0d,1849,"Hall, Thomas,","The lord of the manor, or, Lights and shades of country life"
0.0011260076189674405,107,95026,nyp.33433075877534,1830,"Cochrane, Charles,",The journal of a tour made by Señor Juan de Vega [pseud.]
0.0011246968993447867,109,96915,nyp.33433082547666,1826,<blank>,"Autobiography, a collection of the most instructive and amusing lives ever published"
0.0011192547929378632,31,27697,nyp.33433074967500,1801,"Edgeworth, Maria,",Castle Rackrent;
0.0011172323458026737,58,51914,uc1.b3327075,1840,"Massie, W.",Fitzwiggins
0.0011077263915812794,64,57776,njp.32101066120260,1846,"Blessington, Marguerite,",The memoirs of a femme de chambre
0.0010851404654046886,189,174171,njp.32101065841437,1835,"More, Hannah,",The works of Hannah More
0.0010718561207160556,77,71838,njp.32101068597481,1817,"Edgworth,","Tales of real life; or, Scenes in Ireland;"
0.0010701302944900544,131,122415,uiuo.ark:/13960/t9d511r7r,1849,"Hall, Thomas,","The lord of the manor, or, Lights and shades of country life"
0.001070019394101518,16,14953,uva.x004786557,1814,"Barbauld,",Lessons for children from three to four years old
0.0010596026490066225,40,37750,nnc1.1002163225,1844,"Lee, Hannah Farnham Sawyer,",The world before you;
0.0010465509988405856,102,97463,mdp.39015053037571,1843,"Cooper, James Fenimore,",Ned Myers
0.0010430686406460296,93,89160,nyp.33433067303861,1815,"Mathers, John.","The history of Mr. John Decastro and his brother Bat, commonly called Old Crab"
0.0010346181381492344,224,216505,uc2.ark:/13960/t0bv7m210,1810,"Brooke, Henry,","The history of Henry, earl of Moreland;"
0.0010265622994995508,56,54551,uc2.ark:/13960/t5cc0z28q,1816,"Ryley, S. W.",The itinerant;
0.0010200364298724954,112,109800,hvd.32044004329447,1845,"Durell, Edward H.",New Orleans as I found it
0.0010112274600234377,107,105812,nyp.33433074877873,1814,"Leadbeater, Mary,","Tales for cottagers, accomodated to the present condition of the Irish peasantry"
0.0010088837821932012,36,35683,uc1.b248710,1840,<blank>,"Deveril the cracksman; or, The autobiography of a thief"
0.0010060064502766517,68,67594,hvd.hn1qv9,1801,<blank>,"The moral legacy; or, Simple narratives"
0.001004134672179563,34,33860,uc2.ark:/13960/t7np22p40,1844,"Maginn, William,","John Manesty, the Liverpool merchant"
0.0010017697933014994,30,29947,mdp.39015063549656,1843,"Gould, Edward Sherman,",The sleep-rider;
0.0009979895572686905,69,69139,uiuo.ark:/13960/t3223gq08,1846,"Jerrold, Douglas William,",Men of character
0.0009937948419623812,41,41256,hvd.hxjf92,1821,"M'Donogh, Felix,",The hermit in London ;
0.0009934577174703174,41,41270,uiuo.ark:/13960/t5w675c99,1800,"Croffts,",Ankerwick Castle
0.0009923369535255527,36,36278,uiuo.ark:/13960/t8rb7f32m,1821,"Frere, B.","Rank and fashion!, or, The mazes of life"
0.0009828784992294717,81,82411,uc2.ark:/13960/t55d8rq69,1816,"Ryley, S. W.",The itinerant;
0.0009731984243454082,63,64735,uiuo.ark:/13960/t3pv73d35,1837,"Marryat, Frederick,",Peter Simple
0.0009715222539316291,32,32938,hvd.hn5e3b,1843,"Bouilly, Jean Nicolas,",Genevieve and Marcelin and other tales
0.0009709985577815538,68,70031,inu.30000020693762,1848,"Howitt, William,",The hall and the hamlet;
0.0009627261498219865,53,55052,hvd.hwjw3g,1821,"Edgeworth, Maria,",Moral tales
0.0009590841124318446,127,132418,uc2.ark:/13960/t6j100k87,1800,"Surtees, Robert Smith,","""Plain or ringlets?"""
0.0009557792787052376,30,31388,hvd.hn6b4j,1841,"Abbott, Jacob,",Rollo at work
0.0009553677127250826,184,192596,pst.000000913119,1800,"Smollett, T.",Miscellaneous works
0.0009501597996026605,44,46308,uc1.b3327128,1844,"Rowcroft, Charles,",The man without a profession
0.0009438009438009438,44,46620,uc2.ark:/13960/t3610x82j,1836,<blank>,Adventures of Bilberry Thurland
0.0009427792452669934,111,117737,njp.32101073378315,1848,"Gore,",Sketches of English character
0.0009409380428488708,26,27632,uiuo.ark:/13960/t6pz5tk74,1806,"Roberts,",Delmore
0.0009400336845403627,48,51062,njp.32101073471631,1837,"Gore,","Stokeshill Place, or, The man of business"
0.0009400263207369807,35,37233,njp.32101067645935,1814,"Hofland,",The merchant's widow and her family
0.000932124396237607,33,35403,nyp.33433074815451,1848,"Burdett, Charles,","The gambler, or, The policeman's story"
0.0009295499021526419,38,40880,uc1.b285311,1842,"Maxwell, W. H.",Rambling recollections of a soldier of fortune
0.0009292622795372653,49,52730,nyp.33433074855192,1830,"Galt, John,",Lawrie Todd;
0.0009276100400145507,51,54980,uc1.b3321467,1844,"Butler, Alfred,",Elphinstone
0.0009220839096357768,44,47718,uiuo.ark:/13960/t9474qk0r,1849,"Craik, Dinah Maria Mulock,",The Ogilvies
0.0009213571702124117,166,180169,uc2.ark:/13960/t80k2b055,1800,"Surtees, Robert Smith,","""Ask mamma"", or, The richest commoner in England"
0.0009202556637553124,55,59766,uc2.ark:/13960/t6057jr1s,1841,"Hewlett, J.","Peter Priggins, the college scout"
0.0009172017009922455,209,227867,uc2.ark:/13960/t7sn02x48,1800,"Warren, Samuel,",Ten thousand a-year
0.0009125937943621984,54,59172,hvd.hw2f4s,1810,"Goldsmith, Oliver,",The vicar of Wakefield
0.0009101439682277014,33,36258,uiuo.ark:/13960/t06x01570,1804,"Whitfield, Henry,","A picture from life: or, The history of Emma Tankerville and Sir Henry Moreton"
0.0009065009065009065,21,23166,nyp.33433075765697,1814,"Penn, James,","The farmer's daughter, of Essex"
0.0009045440034053422,85,93970,nyp.33433074938121,1839,"Lytton, Rosina Bulwer Lytton,",Cheveley
0.0009034165571616294,11,12176,nyp.33433074868542,1816,"Hofland,",The affectionate brothers
0.0008943940058726248,53,59258,njp.32101068170990,1841,"Howitt, Mary Botham,",Sowing and reaping
0.0008939546318024361,32,35796,uiuo.ark:/13960/t9n30cc0p,1803,"Lyttleton, M.","Peregrine, or, The fool of fortune"
0.0008939455505891914,44,49220,mdp.39015064544839,1820,"Hofland,",Tales of the Priory
0.0008917280067447064,55,61678,mdp.39015053654912,1809,"Edgeworth, Maria,",Tales of fashionable life
0.000886472430707405,30,33842,uiuo.ark:/13960/t76t1268m,1843,"Grant, James,","Joseph Jenkins, or, Leaves from the life of a literary man"
0.0008863283846665189,12,13539,nyp.33433074868534,1816,"Hofland,",The affectionate brothers
0.0008839317283276012,55,62222,hvd.hw2f61,1814,"Goldsmith, Oliver,",The vicar of Wakefield
0.0008827683615819209,25,28320,uiuo.ark:/13960/t7hq4g562,1807,"Mangin, Edward,",George the third
0.0008819951338199513,29,32880,uiuo.ark:/13960/t31268203,1821,"Frere, B.","Rank and fashion!, or, The mazes of life"
0.000880007333394445,48,54545,uiuo.ark:/13960/t1jh3tq6k,1843,"Chamier, Frederick,",The perils of beauty
0.000879131323211443,37,42087,uiuo.ark:/13960/t0sq9m438,1808,"Hook, Theodore Edward,",The man of sorrow;
0.0008704482808646452,48,55144,uiuo.ark:/13960/t5h99m70x,1817,<blank>,The actress of the present day
0.0008679233791150227,57,65674,nyp.33433075735021,1801,"Pestalozzi, Johann Heinrich,",Leonard and Gertrude
0.0008662070956797921,24,27707,dul1.ark:/13960/t3cz43m9v,1817,"Barrett, Eaton Stannard,",Six weeks at Long's
0.0008624938393297191,14,16232,hvd.hn489f,1828,"Kilner, Mary Ann,",Memoirs of a peg-top
0.0008578752952100281,85,99082,hvd.hwe4jq,1813,"More, Hannah,",The works of Hannah More
0.0008570401703021758,31,36171,uc1.b3293549,1804,"Whitfield, Henry,","A picture from life: or, The history of Emma Tankerville and Sir Henry Moreton"
0.0008555888284544399,28,32726,uiuo.ark:/13960/t4mk6qd0p,1811,"Goulburn, Edward,",Frederick de Montford
0.000855347567194131,52,60794,nnc1.0315301338,1809,"Goldsmith, Oliver,",The miscellaneous works of Oliver Goldsmith
0.0008551953115174686,68,79514,uc2.ark:/13960/t23b60x60,1839,"Sinclair, Catherine,",Holiday House
0.0008531138656094746,34,39854,uiuo.ark:/13960/t8v98nt2g,1803,"Lyttleton, M.","Peregrine, or, The fool of fortune"
0.0008517887563884157,36,42264,uc2.ark:/13960/t4mk68g3n,1816,"Ryley, S. W.",The itinerant;
0.0008508890323337832,29,34082,uiuo.ark:/13960/t6sx6xd8k,1805,"Opie, Amelia Alderson,",Adeline Mowbray
0.0008505070330389271,26,30570,uc1.b275178,1820,"M'Donogh, Felix,","The hermit in the country, or, Sketches of English manners"
0.0008402398502845358,22,26183,uiuo.ark:/13960/t71v64v75,1807,"Sedley, Charles,","The infidel mother: or, Three winters in London"
0.0008390434904209202,48,57208,nyp.33433074951975,1804,"Dallas, Robert Charles,",Aubrey
0.0008371002846140967,10,11946,inu.32000000662249,1849,"Taylor, Ann,",Limed twigs to catch young birds
0.000836076710038146,64,76548,mdp.39015063549961,1834,"Goldsmith, Oliver,","The vicar of Wakefield, a tale"
0.0008347548361339963,46,55106,uiuo.ark:/13960/t5j96f701,1837,"Chamier, Frederick,","Walsingham, the gamester"
0.0008329386401868396,51,61229,hvd.hw2f5i,1809,"Goldsmith, Oliver,",The vicar of Wakefield
0.0008319698272275992,30,36059,nyp.33433006780559,1822,"Nicol, John,","The life and adventures of John Nicol, mariner"
